Epoch4/200 | Loss: 0.2356628796230007 | AUC: 0.39475549255846915
Epoch5/200 | Loss: 0.2351994575268748 | AUC: 0.3798724309000709
Epoch6/200 | Loss: 0.23479544314632378 | AUC: 0.3933380581148122
Epoch1/200 | Loss: 0.23459643534933494 | AUC: 0.3160878809355067
Epoch1/200 | Loss: 0.33315282260597956 | AUC: 0.5294117647058824
Epoch1/200 | Loss: 0.37652924731584003 | AUC: 0.4712969525159461
Epoch1/200 | Loss: 0.2652134014504557 | AUC: 0.22822243651558985
Epoch2/200 | Loss: 0.2450823455388689 | AUC: 0.22790099646415943
Epoch3/200 | Loss: 0.22867376920350252 | AUC: 0.2262937962070074
Epoch4/200 | Loss: 0.2155193639612994 | AUC: 0.22082931533269046
Epoch5/200 | Loss: 0.2050896136458908 | AUC: 0.21954355512696883
Epoch6/200 | Loss: 0.19689527036307625 | AUC: 0.2144005143040823
Epoch7/200 | Loss: 0.19044794538945262 | AUC: 0.211828993892639
Epoch8/200 | Loss: 0.1853936945972238 | AUC: 0.20411443265830922
Epoch9/200 | Loss: 0.18140137978815776 | AUC: 0.1989713918354227
Epoch10/200 | Loss: 0.17823165385799997 | AUC: 0.18997107039537126
Epoch11/200 | Loss: 0.1756701341551328 | AUC: 0.18643522982963678
Epoch12/200 | Loss: 0.17358112700760409 | AUC: 0.20765027322404372
Epoch13/200 | Loss: 0.17186157914153546 | AUC: 0.2796528447444552
Epoch14/200 | Loss: 0.17040443229827446 | AUC: 0.4972677595628415
Epoch15/200 | Loss: 0.16916554884963553 | AUC: 0.6470588235294118
Epoch16/200 | Loss: 0.1680973548108785 | AUC: 0.6878817100610736
Epoch17/200 | Loss: 0.16713710237450752 | AUC: 0.6824172291867566
Epoch18/200 | Loss: 0.16627889321321593 | AUC: 0.6824172291867566
Epoch19/200 | Loss: 0.16549673341316473 | AUC: 0.6817743490838959
Epoch20/200 | Loss: 0.16476802211425753 | AUC: 0.6856316297010607
Epoch21/200 | Loss: 0.16410381132855817 | AUC: 0.6878817100610736
Epoch1/200 | Loss: 0.2133743811121818 | AUC: 0.11908571428571428
Epoch2/200 | Loss: 0.21238865176262756 | AUC: 0.11908571428571428
